参数（路径+文件）,描述,默认值,优化值
/proc/sys/net/core/rmem_default,默认的TCP数据接收窗口大小（字节）。,229376,256960
/proc/sys/net/core/rmem_max,最大的TCP数据接收窗口（字节）。,131071,513920
/proc/sys/net/core/wmem_default,默认的TCP数据发送窗口大小（字节）。,229376,256960
/proc/sys/net/core/wmem_max,最大的TCP数据发送窗口（字节）。,131071,513920
/proc/sys/net/core/netdev_max_backlog,在每个网络接口接收数据包的速率比内核处理这些包的速率快时，允许送到队列的数据包的最大数目。,1000,2000
/proc/sys/net/core/somaxconn,定义了系统中每一个端口最大的监听队列的长度，这是个全局的参数。,128,2048
/proc/sys/net/core/optmem_max,表示每个套接字所允许的最大缓冲区的大小。,20480,81920
/proc/sys/net/ipv4/tcp_mem,确定TCP栈应该如何反映内存使用，每个值的单位都是内存页（通常是4KB）。第一个值是内存使用的下限；第二个值是内存压力模式开始对缓冲区使用应用压力的上限；第三个值是内存使用的上限。在这个层次上可以将报文丢弃，从而减少对内存的使用。对于较大的BDP可以增大这些值（注意，其单位是内存页而不是字节）。,94011  125351  188022,131072  262144  524288
/proc/sys/net/ipv4/tcp_rmem,为自动调优定义socket使用的内存。第一个值是为socket接收缓冲区分配的最少字节数；第二个值是默认值（该值会被rmem_default覆盖），缓冲区在系统负载不重的情况下可以增长到这个值；第三个值是接收缓冲区空间的最大字节数（该值会被rmem_max覆盖）。,4096  87380  4011232,8760  256960  4088000
/proc/sys/net/ipv4/tcp_wmem,为自动调优定义socket使用的内存。第一个值是为socket发送缓冲区分配的最少字节数；第二个值是默认值（该值会被wmem_default覆盖），缓冲区在系统负载不重的情况下可以增长到这个值；第三个值是发送缓冲区空间的最大字节数（该值会被wmem_max覆盖）。,4096  16384  4011232,8760  256960  4088000
/proc/sys/net/ipv4/tcp_keepalive_time,TCP发送keepalive探测消息的间隔时间（秒），用于确认TCP连接是否有效。,7200,1800
/proc/sys/net/ipv4/tcp_keepalive_intvl,探测消息未获得响应时，重发该消息的间隔时间（秒）。,75,30
/proc/sys/net/ipv4/tcp_keepalive_probes,在认定TCP连接失效之前，最多发送多少个keepalive探测消息。,9,3
/proc/sys/net/ipv4/tcp_sack,启用有选择的应答（1表示启用），通过有选择地应答乱序接收到的报文来提高性能，让发送者只发送丢失的报文段，（对于广域网通信来说）这个选项应该启用，但是会增加对CPU的占用。,1,1
/proc/sys/net/ipv4/tcp_fack,启用转发应答，可以进行有选择应答（SACK）从而减少拥塞情况的发生，这个选项也应该启用。,1,1
/proc/sys/net/ipv4/tcp_timestamps,TCP时间戳（会在TCP包头增加12个字节），以一种比重发超时更精确的方法（参考RFC 1323）来启用对RTT 的计算，为实现更好的性能应该启用这个选项。,1,1
/proc/sys/net/ipv4/tcp_window_scaling,启用RFC 1323定义的window scaling，要支持超过64KB的TCP窗口，必须启用该值（1表示启用），TCP窗口最大至1GB，TCP连接双方都启用时才生效。,1,1
/proc/sys/net/ipv4/tcp_syncookies,表示是否打开TCP同步标签（syncookie），内核必须打开了CONFIG_SYN_COOKIES项进行编译，同步标签可以防止一个套接字在有过多试图连接到达时引起过载。,1,1
/proc/sys/net/ipv4/tcp_tw_reuse,表示是否允许将处于TIME-WAIT状态的socket（TIME-WAIT的端口）用于新的TCP连接 。,0,1
/proc/sys/net/ipv4/tcp_tw_recycle,能够更快地回收TIME-WAIT套接字。,0,1
/proc/sys/net/ipv4/tcp_fin_timeout,对于本端断开的socket连接，TCP保持在FIN-WAIT-2状态的时间（秒）。对方可能会断开连接或一直不结束连接或不可预料的进程死亡。,60,30